今 古
取 予
接 交
歌 舞
踏 旋
跳 摆
追 求
慕 爱
嫁 婚
慢 快
食 廉
忠 佞
严 明
诚 信
张 驰
倡 禁
江 河
山 岭
箴 规
劝 勉
叹 嗟
褒 贬
暮 朝
顾 盼
女 男
老 少
异 同
思 考
察 思
浅 奥
诗 词
述 作
读 吟
督 课
起 居
坐 卧
月 星
晨 夜
去 来
送 迓
退 休
忙 暇
果 瓜
桔 柚
聚 离
分 合
起 居
兴 宿
达 穷
奇 偶
醉 醒
众 独
阴 晴
凉 燠
琴 书
讲 读
聚 离
忧 郁
合 分
愁 乐
城 乡
村 郭
言 行
忖 度
犯 防
抗 击
实 虚
劳 逸
去 回
琴 瑟
水 山
断 接
智 愚
庸 哲
宽 严
鞭 挞
振 兴
洗 刷
南北 西东
反思 正视
豁达 冲融
存异 求同
首领 元戎
客观 主动
伟业 丰功
关闭 开通
闪电 霓虹
蓝天 白日
薄雾 长空
碧落 苍穹
意合 心同
人亡 物在
哀郁 虚空
万缕 千丛
后秀 先锋
生机 活力
浪谷 波峰
风靡 云从
舞蝶 游蜂
文鸳 锦鲤
风虎 云龙
翠柏 苍松
写意 修容
寻芳 揽胜
浪迹 萍踪
盛夏 隆冬
先祖 列宗
父慈 子孝
兄友 弟恭
夫唱 妇从
手搏 肩扛
扼喉 抚背
倒海 翻江
获胜 招降
车轴 船桩
绿筠 丹杏
紫芋 红豇
玉笛 金釭
华烛 银釭
南溟 北极
东海 西江
有数 无双
棋局 酒缸
龙楼 凤阁
宝盖 瑶窗
五岳 三江
高唱 横吹
青山 绿水
紫燕 黄鹂
作画 吟诗
快速 淹迟
高明 浅陋
离异 分歧
反馈 回思
茹苦 含悲
存亡 治乱
荣辱 兴衰
心动 神驰
挺拔 英奇
加强 减弱
正合 偏离
固执 坚持
手令 指挥
协调 理顺
跃进 腾飞
秋报 春祈
衣锦 佩徽
天长 地久
完娶 于归
馥郁 芳菲
有幸 无违
萦思 回味
灵动 神飞
晚照 朝晖
梓里 村墟
风裳 雾珮
轻袖 长裾
宝镜 香梳
恬淡 冲虚
秋菘 春韭
苦李 甘薯
闲适 安徐
求实 务虚
再思 一得
万有 三余
汉苑 殷墟
写字 读书
专心 立志
严谨 谦虚
意得 心舒
短叹 长吁
真诚 直率
通变 泥拘
有罪 无辜
上智 下愚
深挖 细找
大吼 高呼
思想 意图
曲调 音符
雄飞 雌伏
故我 今吾
正道 通途
壮志 雄图
推诚 守信
互助 相扶
并驾 齐驱
海峡 河堤
离人 思妇
鹤子 梅妻
彩凤 灵犀
面命 耳提
深思 熟虑
易事 难题
攻错 指迷
关键 端倪
分离 组合
观察 攀跻
繁殖 芟荑
书癖 球迷
电机 火箭
书剑 锄犁
鸿爪 雪泥
昏雾 沉霾
沉思 默认
地道 天街
畀虎 投豺
小巷 长街
高山 峻岭
绝壑 悬崖
感事 伤怀
采访 编排
舒心 适意
放眼 开怀
调协 和谐
卫冕 夺魁
强攻 反击
体验 心裁
共仰 交推
求福 招灾
机灵 乖巧
忧惧 疑猜
护理 栽培
篝火 炉灰
春桃 秋菊
井李 庭槐
得利 生财
大款 歪坯
横财 微利
眼笑 眉开
斗富 争魁
捣鬼 坑人
正宗 劣货
追究 咨询
三令 五申
选手 强邻
王牌 主力
老将 功臣
取善 辅仁
举国 全民
宽松 严谨
苟且 因循
佩组 书绅
至宝 奇珍
地球 天体
日晷 年轮
后果 前因
业绩 功勋
转机 旋律
旧制 新闻
扰攘 披纷
菘韭 蒿芹
秋鸿 春燕
晚照 余曛
桑梓 榆枌
讲学 论文
切磋 研究
收获 耕耘
敬业 乐群
流水 行云
癫张 狂素
柳骨 颜筋
奋勉 精勤
光谱 电源
创新 守旧
排闼 启阍
雾列 云屯
晓月 朝暾
外衣 内核
再现 重温
跃进 飞奔
父母 儿孙
春江 秋浦
白昼 黄昏
鼓瑟 吹埙
玉侣 金昆
家山 海岛
大陆 中原
献曝 迎暄
客体 主观
通途 险道
市义 售奸
助虐 帮闲
文苑 诗坛
讥嘲 讽刺
批判 纠弹
废寝 忘餐
极顶 尖端
冷门 热点
微量 宏观
同乐 联欢
守备 防闲
枪林 弹雨
马策 刀环
夺堑 攻关
赏善 辨奸
鼎新 革故
任重 投闲
避位 交班
解禁 开颜
名姝 硕士
貌婉 心娴
恩赐 荣颁
剖析 关联
朦胧 晦涩
陈腐 新鲜
探索 钻研
进退 回旋
思维 意象
博览 精研
书圣 草贤
耳鼓 心弦
风行 云集
璧合 珠联
岭断 云连
内向 外延
平时 畴昔
往日 来年
雁帛 鸾笺
报导 宣传
扶贫 助学
义演 乐捐
扫障 攻坚
骤雨 狂飚
金戈 铁马
锦帽 华貂
破虏 平辽
永昼 长宵
浅深 浓淡
小技 高招
速写 素描
贫瘠 富饶
合流 分线
出谷 迁乔
灯塔 航标
草率 花招
权臣 骄子
民主 官僚
屈膝 折腰
快乐 逍遥
奸商 污吏
海侃 神聊
阔赌 狂嫖
行贿 纳交
违章 犯禁
越俎 代庖
票证 钱钞
物与 民胞
行情 信息
集股 承包
斟酌 推敲
心照 神交
锦城 花县
绿野 青郊
美酒 嘉肴
巨浪 洪涛
智能 才干
俊杰 英豪
培育 熏陶
渺小 崇高
中装 西服
锦帐 丝绦
俗气 时髦
降格 拔高
伪装 真象
失望 徒劳
追捕 奔逃
水曲 山阿
泉林 岩穴
阶草 庭柯
啸咏 吟哦
充沛 饱和
磁场 电极
总揽 包罗
见习 观摩
鸠妇 鹦哥
花须 柳眼
云树 烟萝
莲唱 渔歌
异卉 奇葩
地灵 人杰
天宝 物华
驻马 回车
正比 反差
基因 元素
降格 升华
矜饰 浮夸
钓叟 莲娃
含苞 抽穗
舒叶 萌芽
燕垒 蜂衙
去伪 攻瑕
昂扬 奋进
可喜 堪嘉
爱国 克家
刮垢 磨光
宏观 微旨
嬗变 弘扬
大治 小康
画苑 文场
清池 幽沼
曲槛 回廊
览胜 观光
丑恶 善良
永恒 短暂
下野 登场
崛起 潜藏
近卫 边防
水雷 火箭
飞碟 激光
虎贲 龙骧
黩武 穷兵
侵华 抗日
渡堑 围城
投笔 请缨
苦战 纷争
强权 公理
背信 推诚
订约 修盟
出死 入生
交流 共进
前导 先锋
警惕 骄盈
甜蜜 温馨
舞池 剧院
宾馆 宫廷
摄影 造型
老式 新型
兰宫 桂殿
鹤渚 鸥汀
壁画 檐铃
银幕 荧屏
吸收 引进
纽带 模型
送宝 传经
因 革，起
扶持 奖掖
武备 文凭
宠命 荣膺
解放 攀登
殊荣 实惠
可贵 难能
霞蔚 云蒸
力度 功能
防边 犯境
戒慎 骄矜
拍马 吹牛
含悲 负屈
饮恨 埋忧
软禁 幽囚
机巧 权谋
昭苏 禁锢
创造 寻求
浊浪 清流
玉笛 金瓯
振兴 崛起
致富 创忧
规划 谋求
体制 方针
拿来 输出
横向 纵深
赞颂 讴吟
谗谄 骄淫
单纯 复杂
高涨 低沉
惠顾 光临
桔井 杏林
阴阳 表里
呼吸 呻吟
三法 六淫
两两 三三
神驰 心照
谅解 包涵
台北 江南
电讯 书函
航天 缩地
浮翠 拖蓝
召唤 恳谈
海市 山岚
枝繁 叶茂
土沃 泉甘
斗酒 双柑
越轨 防嫌
春温 秋肃
颜厚 头尖
药石 针砭
远瞩 高瞻
招贤 揭榜
献策 挖潜
出色 拔尖
型号 标签
中心 上品
优惠 低廉
刚毅 沉潜
发报 封缄
缓冲 急进
意惬 心衔
舞扇 歌衫
特异 平凡
风尘 雪浪
烟柳 云杉
拥抱 扶搀
斧削 锄芟
佳联 妙句
烘托 镶嵌
远航 遥控
有意 多情
雕梁 画栋
神驰 心动
爱苗 情种
拨冗 偷闲
承欢 邀宠
摩肩 蹑踵
玉成 珍重
思妇 征夫
旧醅 新瓮
貔貅 鸾凤
凝思 遐想
极浦 遥天
沙汀 水港
清明 润朗
莺飞 草长
日暖 风和
樵歌 渔唱
悠闲 疏旷
电波 声浪
拒腐 倡廉
举直 矫枉
勘查 采访
寡廉 鲜耻
唧唧 哝哝
偎偎 倚倚
诲淫 悖礼
呼卢 喝雉
废寝 忘餐
狎邪 丧志
横强 暴戾
违章 乱纪
酗酒 行凶
嫖娼 挟妓
公开 隐蔽
富饶 优裕
匡正 纠偏
鼎新 革故
春来 冬去
合辛 茹苦
勤政 爱民
立新 去腐
见微 知著
翩翩 栩栩
清韵 新声
欢情 吟趣
爱怜 景慕
乐池 舞海
搭手 扶肩
轻轻 快快
风流 潇洒
慧中 秀外
卷发 修眉
工愁 善睐
萍逢 株待
定情 纳采
择德 怜才
通融 谅解
俯成 仰赖
忠言 谠论
官肃 民安
令严 威振
勤勤 恳恳
忠纯 公正
敬老 尊贤
爱民 廉政
更新 促进
违章 遵令
克己 奉公
亲贤 远佞
无私 有幸
田园 市井
信步 闲游
仰观 俯听
天高 地迥
有为 无忝
身教 言传
力行 实践
取长 补短
慎思 明辨
矩步 规行
耳濡 目染
防微 杜渐
花坞 芳甸
访胜 寻幽
猎奇 探险
立高 望远
手舞 足蹈
除夕 元宵
争奇 竞巧
彩旗 花炮
智愚 拙巧
事理 物情
内涵 外表
简单 明了
洞明 观照
格物 致知
精微 深妙
先知 预兆
精淳 稳妥
晦涩 平庸
琢雕 堆垛
支离 繁琐
小成 大可
境远 意新
华章 力作
奇葩 硕果
平安 颠簸
浅涉 深思
卸肩 负荷
助人 忘我
退行 进化
驭电 航天
启程 命驾
空间 宇下
轻车 快马
铁塔 钢丝
机床 井架
青郊 绿野
琴棋 书画
啸月 吟风
灌园 学稼
之乎 也者
红菱 白藕
佳节 良宵
年丰 人寿
凝眸 搔首
雨疏 风骤
鲈鲙 莼羹
萸香 菊酒
徒劳 空守
定时 应候
呼吸 卷舒
纳新 弃旧
不求 无咎
荣枯 休咎
正正 堂堂
蝇营 狗苟
浪尖 风口
竭忠 被逐
怀瑾 握瑜
偷生 从俗
鸩媒 鱼腹
蒲香 艾馥
系粽 蒸包
梅肥 桃熟
新装 丽服
萦牵 感触
离合 悲欢
盈虚 继续
望云 倚竹
九秋 三伏
教子 侍亲
牵萝 补屋
消灾 祈福
青天 碧落
孤月 双星
抛梭 窃药
天涯 海角
抚今 追昨
柳暗 花明
年丰 人乐
云浓 雾薄
愚矇 慧觉
蝉翼 鸿毛
日星 河岳
存诚 去恶
筹边 御敌
燕颔 虎头
铜墙 铁壁
巍巍 赫赫
待时 斗力
陷阵 冲锋
强攻 奇袭
平南 逐北
山南 海北
返棹 回车
故居 新宅
泪盈 喜溢
登攀 跋涉
路转 峰回
灵岩 奇穴
大忙 小歇
区分 辨别
律己 责人
求福 造孽
光莹 彩彻
攀援 倾轧
暮鼓 晨钟
口诛 笔伐
暗查 明察
信赏 必罚
国富 民殷
政平 情洽
东涂 西抹
杀狗 戏凤
采桑 拾柴
杀狗 钓龟
杀庙 碰碑
探母 戏妻
逃国 落园
砸涧 闯山
搜府 辞朝
六殿 长亭
扫雪 观星
赐福 加官
入府 回衙
出塞 进宫
拷火 送灯
借将 搬兵
打洞 闯山
大审 小盘
拾镯 赠珠
射戟 对刀
顶嘴 画眉
扯伞 借靴
打洞 回窑
戏洞 游湖
借伞 当衣
赠剑 打刀
絮阁 瑶台
茶叙 琴挑
醉酒 借茶
教子 戏妻
送盒 当箱
折柳 扫花
埋玉 拾金
训女 探郎
刺虎 斩蛟
骂殿 打朝
水斗 山歌
捞月 观星
背凳 顶灯
戏叔 别妻
抱盒 搜杯
戏风 换龙
题曲 弹词
打灶 骂阎
打玉 赠金
借扇 盗巾
八扯 三拉
夏雪 晚霞
男妾 人妖
粉蝶 焦螟
小翠 阿纤
细柳 小梅
地震 水灾
梦别 寄生
鸟语 牛飞
山市 江城
役鬼 跳神
菱角 鸦头
牧竖 农夫
梅女 柳生
酒友 书痴
乔女 大男
狮子 蛇人
农妇 贾儿
绩女 布商
斫蟒 豢蛇
香玉 纫缄
鼠戏 狐谐
驱怪 负尸
鸲鹆 胭脂
甄后 桓侯
侠女 巧娘
鬼令 丐仙
镜听 钱流
山魈 狱神
王者 大人
申氏 庚娘
义犬 蛰龙
泥鬼 雹神
佟客 爱奴
蛙曲 狐联
司训 募缘
放蝶 捉狐
萧七 周三
小髻 老饕
饿鬼 死僧
狐妾 鬼妻
锦琴 葛巾
棋鬼 车夫
龙肉 牛癀
颜氏 汤公
禽侠 凤仙
孝子 宦娘
土偶 雷曹
骂鸭 梦狼
潞令 巩仙
大鼠 丑狐
神女 乩仙
王十 刘全
文子 武丁
陈代 宋朝
叔夏 景春
葛伯 叶公
佛肸 神农
西子 南人
阳虎 史鱼
伯益 季随
子贡 申详
桃应 华周
牧皮 距心
东郭 北官
荷蒉 杞梁
胶鬲 漆雕
子夏 亥唐
长息 少连
瞽瞍 痈疽
王豹 伯禽
弈秋 叔夏
貉稽 驩兜
管仲 琴张
然友 之他
姜女 冯妇
傅说 孺悲
獯鬻 蚳蛙
泄柳 子荆
滑厘 瘠环
庄暴 楚狂
景丑 陈辛
巫马 祝蛇
八士 九男
龙子 燕人
柴也 参乎
司马 伯牛
西伯 南容
林放 盆成
百里 万章
重耳 易牙
舅犯 夫差
搏二 赶三
冷通 热昏
林虎 木鱼
孙武 子文
葛岭 苏堤
三竺 九溪
花港 月岩
岳庙 俞楼
菌阁 柏堂
孙坞 姑桥
佛坳 君山
横洞 长湖
小港 洪桥
反嘴 横塘
窑岭 罗湖
油港 麻塘
北港 南冲
鹿角 燕岩
年庚 时子
心死 尾生
英洋 德海
魂灵 胃活
日头 旦脚
脉望 经期
月经 风气
虎魄 龙阳
丝瓜 布谷
情仇 角力
孝经 小雪
白璧 绿珠
白绿 素丹
朱鹤 青麟
黄甲 朱缨
银鹿 玉麟
碧玉 翠金
石五 铁银
苗翠 柳朱
赫赫 苏苏
鲍虎 熊罴
蹩脚 滑头
掮客 流氓
倒灶 塌台
集经 集史
集句 集经
阳韵 鰋鲤
朱五 2#
朱五 2#
朱五 3#
叶子 2#
叶子 2#
叶子 2#
叶子 2#
叶子 2#
叶子 2#
叶子 2#
叶子 2#
枭鸢 3#
秦人 2#
阴阳 云雨
东西 大细
吃醋 扒灰
坍黄 呛白
搨八 来三
上任 发财
有余 且住
末目 添汤
施粥 爬灰
滴血 小死
阴阳 云雨
东西 大细
吃醋 扒灰
坍黄 呛白
搨八 来三
上任 发财
有余 且住
添汤 施粥
爬灰 滴血
小死 长生
2# 朱德
蒲公 5#
榴斋 6#
2# 陈毅
蒲公 2#
朱五 3#
蒲公 7#
蒲公 2#
对联 政治
中国 捷克
力挫 严惩
体例 头衔
容易 色难
风扁 月圆
牛舞 凤鸣
容易 色难
望鸿情切切 
崇正学 育真才
排宿怨 立新功
三妇艳 万夫雄
云淡淡 日曈曈
孤独感 别离衷
头角露 羽毛丰
红芍药 碧芙蓉
千里马 万年松
和为贵 情所钟
白石垒 碧油幢
花有信 笛无腔
山隐隐 水淙淙
风淡淡 水漪漪
下坡路 高峰期
贫非病 福有基
分牝牡 决雄雌
蚕花好 桑叶稀
红成阵 翠作围
风袅袅 雨霏霏
金翡翠 玉蟾蜍
狼毫笔 鹤嘴锄
三尺剑 五车书
花烂漫 树扶疏
拦路虎 假威狐
黑成白 紫夺朱
三害去 四凶除
同祸福 共荣枯
鹦鹉唤 鹧鸪啼
才气大 水平低
杂产稻 嫁接梨
下水道 上天梯
戴高帽 穿小鞋
龟曳尾 桔逾淮
行藏决 出处偕
持玉尺 捧金杯
开阡陌 辟蒿莱
多面手 出群才
黄金宴 白玉杯
千夫指 万里巡
风格好 水平新
言娓娓 诲谆谆
诗书画 精气神
清俗虑 靖尘氛
巫峡雨 楚天云
师道重 友情殷
修月斧 运风斤
百花放 万马奔
挖潜力 找窍门
云出岫 叶归根
春无迹 月有痕
金饭碗 铁算盘
拳拳意 面面观
人民富 政策宽
征锋动 凯歌还
举方正 惩贪顽
花似锦 月如环
真善美 高大全
鸿戏海 鹤冲天
红蜡泪 碧波烟
花吐絮 柳飞绵
手拉手 肩并肩
烽烟起 战火燎
大幅度 粗线条
回音壁 立交桥
潜意识 旧思潮
头脑热 尾巴翘
行我素 任人嘲
鱼得水 漆投胶
莺出谷 凤还巢
屠龙技 汗马劳
尝苦果 饮醇醪
三叉戟 两面刀
回风曲 遏云歌
吞吐量 冲击波
粼粼水 滟滟波
宝无价 礼有嘉
象有齿 鼠无牙
莺恰恰 鹊喳喳
休傲慢 莫矜夸
谈国事 话家常
先生柳 召伯棠
两点论 一言堂
刀破竹 箭穿杨
云水怒 鬼神惊
骄必败 满当倾
前辙覆 旧弦更
旅游点 博览厅
红杏馆 绿莎厅
传帮带 老中青
承，激荡 奔腾
倚天剑 系日绳
花正好 日方升
负嵎虎 碰壁蝇
忠被谤 直招尤
棋累卵 水载舟
双跃进 两丰收
开眼界 豁胸襟
工引线 善穿针
医国手 济人心
芙蓉国 日月潭
人意好 党恩覃
情未已 兴犹酣
糖衣炮 水晶盐
五讲备 四美兼
临事慎 礼贤谦
门前柳 屋后杉
归故里 浣征衫
灵感涌 妙机缄
艺超群 才出众
花径开 春盘供
虎头山 猫耳洞
草芊芊 波漾漾
白鸥天 青雀舫
诡计多 神通广
艳曲荒 俚词鄙
蚁附膻 蝇钻厕
权谋私 官计利
德政施 仁风布
四时调 万物睹
伸雅怀 抒情愫
影翩跹 情慷慨
浴爱河 填恨海
去奢华 慎借贷
事再思 身三省
讼庭闲 囹圄静
党风纯 民意顺
醉眼开 妙思骋
戒因循 慎检点
行无亏 风可范
听流泉 攀绝巘
焰火腾 萧鼓闹
鉴真才 求实效
细推求 勤探讨
未必工 将毋左
生活深 阅历伙
重礼仪 轻财货
牧夫惊 猎户讶
引水渠 拦洪坝
顺摸瓜 倒啖蔗
月当头 杯在手
嘱再三 约重九
物外除 神内守
百无聊 三不朽
上官谗 詹尹卜
蒲酒斟 兰汤浴
九回肠 千里目
出塞行 牵衣哭
玉露零 金风作
鸟嘤嘤 蛙阁阁
火炼金 石攻错
招即来 战必克
车辚辚 云幂幂
诉衷情 寻往迹
鸟唤人 花绕蝶
不锈钢 长坚铁
正气伸 歪风刹
心正舒 目待刮
霍去病 杨大年
谈风月 居高明
于谦妾 王振儿
金不换 石敢当
汤蛰仙 油炸鬼
金钱豹 王夔龙
洪羊洞 牧虎关
打花鼓 卖草囤
打樱桃 卖橄榄
乌龙院 白虎堂
冀州城 嘉兴府
黑水国 黄金台
回龙阁 飞虎山
审李七 拿康八
大嫖院 小上坟
风云会 日月图
滚红灯 卖青灰
花蝴蝶 玉麒麟
芦林坡 草桥关
百草山 五花洞
春秋配 南北和
金锁记 铁冠图
千钟禄 一文钱
长生乐 万里圆
义侠记 艳云亭
牧羊记 伏虎绦
麒麟阁 翡翠园
东海记 西蜀图
临川梦 空谷香
怜香伴 慎鸾交
吟风阁 望湖亭
一片石 四声猿
气英布 占花魁
风云会 人兽关
慈悲愿 吉庆图
江天雪 桂林霜
雷峰塔 翠屏山
连环记 如意珠
一捧雪 四弦秋
桃花扇 燕子笺
大登殿 小上坟
奇冤报 巧因缘
青石岭 白水滩
八义图 三疑计
摇钱树 打金枝
百草山 万花船
金雁桥 玉虎坠
连环套 双锁山
双官诰 九连灯
蟠桃会 御果园
大回朝 小逛庙
忠保国 孝感天
回龙阁 落马湖
龙虎斗 巴骆和
三上轿 二进宫
断皇后 探亲家
拾玉镯 对银杯
错错错 飞飞飞
雁门关 马嵬驿
鸳鸯楼 游六殿
赶三关 洪羊洞
恶虎村 凤仪亭
鱼肠剑 打龙袍
斩马谡 盗宗卷
探皇灵 琼林宴
玉堂春 红梅阁
紫霞宫 葵花峪
柳林池 独木关
单刀会 乌龙院
白蟒山 春秋配
文武魁 空城计
宦海潮 贪欢报
得意缘 取北原
伐东吴 白蛇传
黄鹤楼 顶花砖
滚钉板 拾万金
五百两 打銮驾
挑花车 黄金台
碧尘帕 钓金龟
盗玉马 一口剑
九件衣 三岔口
五丈原 金沙滩
铜网阵 武家坡
文昭关 金锁阵
三上轿 二进宫
乾坤带 宇宙锋
拾玉镯 打金枝
大佛殿 土地祠
黑风帕 绿云衣
八蜡庙 双狮图
三疑计 八义图
五老会 四美图
采茶案 浣花溪
乌玉带 黄金台
黑水国 黄金台
朱砂痣 蝴蝶杯
胭脂褶 蝴蝶杯
五老会 四杰村
青风寨 白水滩
黑风帕 白水滩
三叉口 五台山
五花洞 百草山
子午谷 丁甲山
摩天岭 走雪山
玉虎坠 铁龙山
变羊计 飞虎山
游地府 探附山
金鳌岛 白蟒山
鱼肠剑 牛头山
回龙阁 牧虎关
池水驿 樊江关
群英会 独木关
游六殿 赶三关
金锁阵 玉门关
六月雪 九更天
孝义节 恩怨缘
大保国 小过年
乌龙院 金雁桥
子午谷 阴阳河
五人义 一念差
夺小沛 战长沙
六王殿 三官堂
金鳌岛 白虎堂
孝义节 思志诚
收关胜 请宋灵
哭祖庙 叹皇灵
五人义 一箭仇
回龙阁 卧虎沟
卖橄榄 打樱桃
五虎棍 九龙杯
青纱帐 白罗衫
罗四虎 锁五龙
乾坤镜 宇宙锋
三叉口 十字坡
回龙阁 飞虎山
洪羊洞 泗水关
八蜡庙 九里山
双合印 九连灯
风云会 虹霓关
牧羊圈 落马湖
雄黄阵 牡丹亭
清风岭 白水滩
拾玉镯 舍金钗
骂王郎 打严嵩
堆罗汉 审魁星
火云洞 金沙滩
花田错 草桥关
摩天岭 渭水河
乾坤带 日月图
蜈蚣岭 鸳鸯楼
五花洞 百草山
虹霓关 一匹布
九件衣 盗御马
钓金龟 夺小沛
战太平 风筝误
雪杯圆 回龙阁
牧虎关 清风寨
白水滩 拾玉镯
胡四姐 封三娘
蹇偿债 狐惩淫
白莲教 青蛙神
伍秋月 杜小雷
白秋练 红毛毡
董公子 刘夫人
花姑子 颠道人
梓潼令 鄱阳神
金生色 席方子
妾击贼 鬼作筵
蒋太史 郭秀才
吕无病 褚遂良
孙必振 张不量
聂小姨 仇大娘
金和尚 泥书生
汪秀才 王子安
公孙夏 彭海秋
陈仲子 张孟男
孔北海 毛西河
雷恶地 金仁山
杜如晦 黄孔昭
刘玉豹 熊铁牛
徐孺子 苏长公
高力士 雷弱儿
赵青雀 杜黑骡
屠赤水 刘青田
程不识 魏无知
王鹦鹉 韩麒麟
沈虎子 梅虫儿
张破败 曹吉祥
李小喜 詹大悲
张知白 吴通玄
朱嚼铁 程咬金
银瓶女 铁椎郎
闻三畏 张四知
史万岁 田千秋
习凿齿 杨剥皮
谢白面 苻黄眉
沈万三 盛百二
宋楚客 苗晋卿
黄罗汉 宋金刚
傅游艺 胡居仁
姚广孝 朱全忠
张得地 何承天
傅竖眼 顾横波
阮圆海 薛方山
杨大庄 李中孚
孔有德 王无功
张敬儿 包慎伯
刘风诰 李鸿章
吴三桂 冯一梅
陆士龙 张人骏
郑鹧鸪 汪精卫
马瑶草 宋石芝
朱舜水 汪尧峰
梁化凤 于成龙
黄庭兰 谢阶树
马秋药 祁春蒲
吴绛雪 傅彩云
邵无恙 康有为
张太岳 孙中山
赵怀玉 罗佩金
李如月 郑为虹
郝懿行 俞嘉言
董振铎 郝摇旗
范械士 王藻儒
伊朝栋 张国梁
宋骏业 曹鸿勋
韩捧日 蒋观云
范祖禹 温宗尧
熊希龄 毛延寿
杨四立 许九香
景耀月 陈彩霞
米占元 麦加利
米占元 粉蒸肉
小放牛 大司马
朱介人 赤发鬼
淮南子 墨西哥
关迥之 阙如也
梁燕孙 木鳖子
杨杏城 桐花馆
时报馆 刻字铺
叶誉虎 糟溜鱼
张季直 刘伯刚
青莲阁 白兰地
陆凤石 海虎绒
公法人 私生子
黑簪巷 红纸廊
磨盘街 秤砣巷
七家湾 八府塘
罗汉寺 寿星桥
北极阁 西华门
骂驾桥 安都门
平章巷 安品街
钓鱼巷 望鹤冈
走马巷 宰牛坊
四象桥 五马街
凤游寺 虎踞关
松涛巷 杏花村
唱经楼 评事街
大夫第 状元境
弓箭坊 珍珠桥
龙王庙 鸽子桥
钟鼓楼 珍宝廊
红纸廊 白衣庵
全福巷 如意桥
朱雀桥 乌龙塘
云鲲殿 雨花台
双石鼓 三牌楼
太平桥 吉祥街
邀贵井 致和街
四眼井 三条巷
奇望街 大行宫
灵谷寺 朝阳门
古钵营 破衣街
龙蟠里 鸡鸣寺
裱画廊 广艺街
桃叶渡 莲花桥
灯笼巷 门帘桥
观音巷 罗汉寺
箍桶巷 晒布坊
三山街 双石鼓
一枝园 千竿巷
堆金桥 聚宝门
文德里 武定桥
郭家巷 张府园
跑马巷 仪凤门
军师巷 夫子庙
三坊巷 七家湾
铜井巷 金川门
破衣街 纱帽巷
驴子市 龙王庙
莫愁湖 如意桥
金福巷 大功坊
仁义里 吉祥街
致和街 益仁巷
中正街 锦绣坊
三老巷 五老桥
松荫弄 木料市
扫帚巷 磨盘街
铜井巷 右坝街
和济巷 德润里
大功坊 通济门
五马街 九龙桥
红纸廊 乌衣巷
朝天宫 灵谷寺
细柳巷 大杨沟
骂驾桥 富民坊
德润里 吉照营
晒布坊 打铁巷
府东街 水西门
上浮桥 中正街
下浮桥 上新河
红花地 紫金山
烟霞洞 风雨亭
呼猿洞 放鹤亭
水乐洞 潮音堂
紫云洞 乌石峰
万松岭 双桧峰
风篁岭 月桂峰
栖霞岭 跨虹桥
慈云岭 慧日峰
石人岭 玉皇山
玉佛寺 钱王祠
大仁寺 妙智庵
兴教寺 翻经台
保叔塔 候仙亭
