春风梳柳燕裁锦 秋雨点芦蛙弄声
红梅斗雪开 瑞气霭春晖
春荣碧树娇 细雨醒红梅
春风舒冻柳 冬随捷报去
瑞雪漫天舞 生意春前草
瑞雪兆丰年 春带凯歌来
红梅着意开 财源雨后泉
鸡鸣万户晓 烟柳千家晓
松摇千尺雪 春催杨柳绿
鹤舞一年春 风华百里香
竹撼一窗秋 花放山河新
九阳祥烟合 庆三阳开泰
乾坤添春色 日月开新纪
千山淑气融 喜万象更新
日月增光辉 田园入画图
龙翔吟盛世 雷鸣龙起蛰
安定万民喜 政通千家福
燕舞咏阳春 春暖燕衔泥
团结百事成 人和万户春
东风迎新岁 红梅报春早
天寒梅骨傲 花开春富贵
瑞雪兆丰年 喜鹊登枝高
风暖草心香 竹报岁平安
江山无限好 人随春意泰
九州归一统 雪和新雨落
祖国万年春 事共壮怀成
两岸共千春 风带早春来
有天皆丽日 红日出林海
阳光凝大地 民殷思报国
无地不春风 春光追鸟音
春色入人家 岁稔喜迎春
四海春风洽 春风添画意
门门增瑞霭 春风新燕子
九州岁历长 岁月赋诗情
户户建文明 香月古梅花
人展鲲鹏志 九陌连灯影
安邦兴世纪 三山钟秀气
国呈龙虎威 千门庆月华
举国庆长春 四海著春光
梅香催腊去 瑞雪漫天舞
雪里江山美 丹桂千里香
燕翅携春来 红梅着意开
花间岁月新 松柏万年青
春联耀春光 东风传紫气
淑气芝兰茂 雪在梅花白
喜报传喜讯 大地发春华
春风桃李香 春归柳色青
青山披锦绣 竹疏烟补密
红日出林海 庆新春肇始
绿水溢春华 梅瘦雪添肥
春光追鸟音 祝大业终成
九州开泰运 银蛇腾瑞雪
云霞出海曙 远山含紫气
万福启春华 骏马舞东风
梅柳渡江春 芳树发春辉
青山添秀色 九州生瑞气
江山添秀色 华文春日丽
碧海泛春潮 万户报新春
天地共长春 瑞色紫云高
民奔小康路 春降千门福
兴邦凭改革 勤是摇钱树
国臻大治年 花开万户欢
致富在勤劳 俭为聚宝盆
勤劳携福至 好景年年好
日子天天好 安定千家乐
科技引财来 新春岁岁新
生活步步高 辛勤五谷香
风声读竹韵 春水鸣琴韵
堂上归来燕 梅竹呈秀色
月影写梅痕 康民乐岁华
厅前新种花 莺燕送佳音
日月光华照 放怀歌胜岁
太平真富贵 彩结宜春字
乾坤春意浓 挥翰颂新春
春色大文章 云书大有年
山河添秀色 天地英雄气
政善山河美 九州归一统
大地浴春晖 山河浩荡春
天清日月明 两岸共千春
万紫千红地 良辰逢雪霁
清溪吟雅韵 江山增秀色
花团锦簇天 瑞气霭春晖
皓月洒春晖 大地换新装
春为一岁首 田园无限美
门庭清且吉 日出乾坤秀
梅占百花魁 山河分外娇
家道泰而昌 春来草木娇
阳光凝大地 年丰人益寿
迎春接福日 江山千古秀
春色人人家 春早福盈门
足食丰衣年 祖国万年春
人随春意泰 勤劳能致富
同修富裕路 山河添秀色
事共壮怀成 和睦可生财
共建文明村 大地沐春晖
好景年年好 政通千家福
太平真福贵 春晖盈大地
新春岁岁新 人和万户春
春色大文章 正气满乾坤
淑气芝兰茂 三阳临吉地
国登强盛境 春明有富贵
春风桃李香 五福萃华门
人过富裕年 风静全家安
花随春意发 庆新春肇事
人民歌永泰 一年春作首
福从好运来 祝大业终成
祖国庆长春 百事德为先
半年飞瑞雪 岁月随人好
万里春光美 祖国春如海
好景舞春风 山河照眼明
九州瑞气浓 人民力胜天
梅花开五福 年年歌大有
新风开盛世 红点桃花嫩
竹叶报三多 岁岁颂新康
春色壮神州 青描柳色新
天开新岁月 四海春光好
人民歌大治 党指通天路
人改旧乾坤 九州气象新
祖国庆长安 民怀报国心
神州臻百福 风和催四化
玉堂浮瑞气 共祝升平日
盛世集千祥 政通喜千家
金室耀祥光 同沾大有年
事业随春长 普天开景运
跨峥嵘岁月 龙飞欣晓日
风光逐日新 大地沐春晖
奔锦绣前程 马到庆丰功
日月光天德 有年皆丽日
云霞出海曙 春风舒冻柳
云霞拥地灵 无处不春风
梅柳渡江春 瑞雪兆丰年
和光生柳叶 风助飞雪舞
青山多画意 吟竹诗含翠
春色泛桃花 诗伴落梅吟
春雨润诗情 画梅笔带香
华文春日丽 神州春浩荡
普天开远景 云霞成异彩
瑞色紫云高 寰海日光华
大地焕新风 梅柳动春风
何处五云多,大罗天上 飞来三峤秀,太液池边.
苍官寿客结好友 岸芷汀兰入画图.
镜里林花舒艳裔 云边楼阁隐神仙.
万有拥祥轮,净因资福 三乘参慧镜,香界超尘.
慈福遍人天,祥开佛日 圣恩留法宝,妙现心灯.
宝幢时护曼陀雨 金界常涵般若珠.
皇建有极,敛时敷钖,而康而色 乾元下济,亏盈益谦,勉始勉终.
璇阁香清,露华滋惠畹 萱阶昼永,云锦蔚荷裳.
三藏密微超色相 十分安稳得津梁.
循玉岫明湖,于焉映带 导西沟东雉,因之委输.
露剡亚鳞塍,溉从谷口 云浆分乳窦,溯得源头.
柳色未晓秦地绿 花光不减上阳红.
春雨杏花江上客 明湖杨柳晚来诗.
白雪远山,图开大米 斜阳新柳,春满天街.
四座了无尘世在 八窗都为酒人开.
振锡罔前猿献果 挈瓶泉畔鹭翘沙.
似闻陶令开三径 来与弥陀共一龛.
烟笼古寺无人到 树倚深堂有月来.
穿荻小车疑泛艇 出林高阁当登山.
珠帘暮卷西山雨 阁道回看上苑花.
四面常时对屏障 众仙同日咏霓棠.
云里帝域双凤阙 雨中春树万人家.
登高喜见诸天月 入座微闻百合香.
破除相思鹅儿酒 妆点新闻燕子笺.
喜得故园桑落酒 陶然共醉菊花杯.
慧眼光中,开半亩红莲碧沼 烟花象外,坐一堂白月清风.
客醉共陶然,四面凉风吹酒醒 人生行乐耳,百年几日得身闲.
爽气挹山岚,万苇清风带古寺 高踪怀水部,一轮明月照江亭.
爽气抱城来,拄笏看山宜此地 绿荫生昼静,凭栏觅句几闲人.
果然城市有山林,除却故乡无此好 难得酒杯浇块垒,酿成危局有谁支.
兰开一序,沧浪一曲,有客陶然新醉 子美双诗,太守双文,无花风也添香.
长戈满地,一亭独幽,客子河梁携手去 把酒问天,陶然共醉,西山秋色上衣来.
法云广荫无遮会 慧日高悬有相天.
泡影乾坤,妆成宝相 色香世界,幻出空花.
莲宇岧峣,天去五尺临韦曲 芦塘森漫,在水中央认弥陀.
谁毁谁誉,逝者如斯夫 不仁不智,孰之而已矣.
保障功隆,俎豆千秋修祀典 邦畿地重,灵威万国仰神明.
灵巩天垣,和会九州风雷协 报崇国纪,盈宁亿祀社方安.
覆育普无私,穆然垂象 监临昭有赫,俨若升阶.
元气荟函三,上清同契 道原分列四,统御兼成.
月华高德资鸿运 省御通灵洽富釐.
豫宣式宰扶阳令 解作兼资润物功.
广长舌在无言表 清净身参非色间.
觉海化身现金粟 普门香界涌白莲.
石压笋斜出 岩垂花倒开.
慧雨昙云,清净契无为之旨 金乘珠藏,通明开不二法门.
参透声闻,翠竹黄花皆佛性 破除尘妄,青松白石见佛心.
花雨静飘空色外 心珠长印摩尼中.
妙谛不多弹一指 善缘无量佛千身.
帝座星辰环紫极 仙阶鸾鹤捧红云.
风散异香禅偈静 鸟窥清呗法筵开.
算永东华,若木光腾春九十 祥开南极,蟠桃花放岁三千.
碧砌瑶阶春色丽 琪花芝草日华鲜.
香云遍覆真如界 皓月常明自在天.
金界庄严,铃语钟声流净梵 连台馣霭,香云宝相现慈因.
慧镜慈灯,广种善根垂福佑 溪声山色,远从贤首证圆通.
漫教胜鬘霏花雨 应有那伽卫法筵.
心珠朗映大千界 性海常通不二门.
万古长生,不用餐霞求秘诀 一言止杀,始知济世有奇功.
阶而可升,恰东接城阴,西连塔影 室虽云陋,喜风敲铎韵,雨湿钟声.
咬定一两句书,终身得益 栽成六七竿竹,四壁皆清.
世间惟有修行好 天下无如吃饭难.
禅心似镜留明月 松韵如篁振午风.
星海空澄,广滇无边诸佛地 日轮皇鉴,大明洪护梵王家.
鹫岭云闲,空界自呈清净色 龙潭月皎,圆光长现妙明心.
莲座护祥云,名刹宏开登净域 檀林施法雨,慈航普渡指迷津.
大肚能容,容天下难容之事 开口便笑,笑世间可笑之人.
庆云宿飞栋 喜树罗清墀.
绕户竹风翻妙偈 当空水月涤尘襟.
石上水流动皆静 云间山出幻而宁.
竹秀石奇参妙道 水流云在示真藏.
行到水穷处 坐看云起时.
幸逢嘉霖敷优泽 一洗粉尘转润姿.
得法多自古人书. 大涤云山小崧石；
观斋残帖郑庵铜. 文兼两汉三唐际；
贵比黄金白璧多. 秀挹芝房,香流楮国；
文光射斗,采笔凌云. 宝鼎芝房,嘉祥备至；
文扬笔阵,典籍纷披. 窗外小丘如岫列；
楼前积水当湖看. 栏外远山排闼绕；
楼前积水当湖看. 风雨最难佳客至；
湖山端赖主人贤. 无始无终,先作形声真主宰；
宣仁宣义,聿昭拯济大权衡. 何处无明月清风,半郭半村裴绿野；
此地有茂林修竹,宜诗宜画谢青山. 三辅黄图,先民有作；
千秋金鉴,何代无贤. 学焉各得性之所近；
贤者亦将有感于斯. 周召王化所基,考献征文,不独纂成耆旧传；
燕赵古称多士,希风采韵,相期同翊圣明时. 轩辕台,伯夷庙,吉甫墓碑,观圣贤风教所遗,请稽经典；
碣石馆,日华宫,首善书院,数幽冀人才之盛,直到皇朝. 林外钟彩开宿霭；
阶前旛影映清晖. 蒹葭秋水寻隐士；
杨柳春风忆相公. 隔岸数间斗室；
临河一叶扁舟. 钦相公燮理余闲,过此寻春,指点野云别墅；
缅名士宴游高致,曾经消夏,听歌骤雨新荷. 龙食鲸吞,举月不胜今昔感；
鹰瞵虎视,惊心莫作图画看. 日临祇树浮金座；
香散天花绕法台. 山色殅明开石景；
河声日夕绕桑乾. 云行雨施,不崇朝而遍天下；
理大物博,袒阳气之发东方. 禅灯光映长明月；
祇树花开不老枝. 元功佑辑横流定；
大德帡资兆姓安. 宝范流慈辉紫极；
珠宫耀彩丽青霄. 仁泽布东方,庆贻佩韣；
灵凤护南苑,惠普成梁. 馥郁香台辉慧日；
庄严宝界拥祥云. 梵香馥郁吉祥凝,象教西传净业；
宝相庄严华月印,雁堂北护黄图. 觉海澄圆无所在；
义天高广本来空. 香台围绕花霏雨；
毫相光明月映川. 蕃滋遍钖寰区福；
长养洪敷雨露恩. 菽粟并资仁,功成既济；
槐榆分布令,序美惟修. 座上莲花前后果；
庭中柏子去来心. 溯委仰凭依,万株有本；
浚川资利用,六府惟修. 诸峰秀起标高朗；
一室包涵悦静深. 气合冲虚尊水府；
灵昭赫奕肃星纲. 但觉眼前生意满；
须知世上苦人多. 城隅绿水明秋月；
海外青山隔暮云. 觉路弘开,慈航普渡三千界；
法轮广照,佛日长辉亿万年. 般若演慈源,妙通筏喻；
菩提宏觉路,长炳灯传. 甘露洒诸天,现清净身,说平等法；
慈航超彼岸,以自在力,显大神通. 戒慧光中,烟云皆般若；
清凉界外,花石尽真如. 智珠朗映光明藏；
意蘂常舒欢喜园. 片石孤云窥色相；
清池皓月照禅心. 月在上方诸品静；
心持半偈万缘空. 潮音普觉有闻界；
水观中涵智慧珠. 妙示真如空色相；
净开正觉摄声闻. 般若慈源,远通华海汇；
菩提觉路,妙转法轮圆. 清泉绕砌琴三叠；
翠篌含风管六鸣. 重帘祥风护；
中衡瑞采凝. 迎气肃斋明,光承离照；
顺时钦敬授,典著寅宾. 西兑斋心陈白琥；
大田发咏庆黄云. 千亩兆农祥,寅清将事；
三推勤御耦,亥吉祈年. 弘育群生敷恺泽；
顺承乾德蔼慈云. 金元明宅于兹,天邑万年今大备；
虞夏殷阙有间,周京四学古堪循. 金石文章空八代；
江山姓氏著千秋. 起八代衰,自昔文章尊北斗；
兴四门学,即今俎豆重东胶. 进学解成,闲官一席曾三仕；
起衰力任,钜制千秋本六经. 以正气还天地；
有大勋于国家. 朝来爽气挹西天.
立政待英才,慎乃倏司,知人则哲 兴贤共天位,勖哉多士,观国之光.
烟霭碧城,金鼎香浓通御气 霞明紫极,璇枢瑞启灿仙都.
视听思无远 天心格有孚.
一气感通昭陟降 万年嗣服式仪型.
琴韵声清,松窗滴露依虫响 书惟夜永,萝壁含风动月华.
太紫卫皇图,功资左辅 上清通昊縡,化运元枢.
映窗黛郁千年树 插架芸芳四库书.
浩气丹心,万古忠诚昭日月 佑民福国,千秋俎豆永山河.
作镇统元,居五岳之长 资生合撰,妙万物而神.
乃圣乃神,乃武乃文,扶四百载承尧之运 自西自东,自南自北,如七十子服孔之心.
仪凤祥麟游集盛 金书玉宇职司勤.
中原新气象 华国大文章.
一庭芳草围新绿 十亩藤花落古香.
夏至酉逢三伏热 重阳戊遇一冬晴.
万卷编成群玉府 一生修到大罗天.
两登耆宴今犹健 五掌乌台古所无.
花外子规燕市月 柳边精卫浙江潮.
南宋状元宰相 西江孝子忠臣.
砥柱中流,独挽朱明残祚 庙容永奂,长赢史笔芳名.
抚射御道义 接武在文章.
门前学种先生柳 日暮聊为梁父吟.
其身世系中夏存亡,千秋享庙,死重泰山,当时乃蒙大难 闻鼙鼓思东辽将帅,一夫当关,隐若敌国,何处更得先生.
子美集开诗世界 伯阳书见道真源.
治统溯钦承,法戒兼资,洵哉古可为监 政经崇秩祀,实枚式焕,穆矣神其孔安.
学者当以天下国家为己任 我能拔尔抑塞磊落之奇才.
槛外山光,历春夏秋冬,万千变幻,都非凡境 窗中云影,任东西南北,去来澹荡,洵是仙居.
三疏流传,枷锁当年称义士 一官归去,锦衣此日愧先生.
燕市宅依然,三疏共传公有胆 钤山堂尚在,十年不出彼何心.
旁人错比扬雄宅 异代应教庾信居.
家无儋石 气雄万夫.
视尔梦梦,天胡此醉 于时处处,人亦有言.
作廿四史观,戏中人呼之欲出 当三百篇读,弦外意悠然可思.
大千世界在眉头,寻遍翠煖珠香,重游瞻部 五百莺花如梦里,记得丁歌甲舞,曾醉昆仑.
气备四时,与天地日月鬼神合其德 教垂万世,继尧舜禹汤文武作之师.
灵昭保障资维固 馨报恬波祝有恒.
利策河防常惕若 勤求民隐倍殷然.
二千里远行江淮,凡甲乙科同在中朝,皆敦乡谊 尺五天近临韦杜,当已未岁重新上馆,更启人文.
依然平地楼台,往事无忘宣榭警 犹值来朝车马,清时喜赋柏梁篇.
未闻安石弃东山,公能不有斯园,贤于古人远矣 漫说少陵开广厦,彼仅空存此愿,较之今日何如.
软红不到藤萝外 嫩绿新添几案前.
众志成城,众擎易举 百花齐放,百家争鸣.
荣名天下三百春秋,迎尽九州雅士 宝藏古今万千书画,领来一代风骚.
绿竹入幽径 仙桃正发花.
碧树红花相掩映 竹轩兰砌共清虚.
跨鹤酒仙应入座 骑驴诗客或题桥.
湖上笠翁,端推妙手 江头米老,应是知音.
得三隅法 是一转机.
万井楼台疑绣画 五云宫阙见蓬莱.
花木正值二月景 人家疑近武陵源.
万卷藏书宜子弟 一家终日在楼台.
寄兴于山亭水曲 得题在虚竹幽兰.
逸兴遄飞,任他风风雨雨 春光如许,招来燕燕莺莺.
随遇而安,好领略半盏新茶,一炉宿火 会心不远,最难忘别来旧雨,经过名山.
文酒聚三楹,晤对间今今古古 烟霞藏十笏,卧游边水水山山.
源溯长白,幸相承七叶金貂,那敢问清风明月 居邻紫禁,好位置廿年琴鹤,愿常依舜日尧天.
敬协天行所无逸 顺衍星好敕时几.
雅歌投壶. 旧题在壁几行绿；
晓日横窗一抹殷. 碧瓦护风云,别开洞府；
丹霄悬日月,近丽神皋. 颢气絪缊,一元资发育；
神功覆帱,万汇荷生成. 心珠朗映大千界；
性海常通不二门. 草木惬生意；
风泉清道心. 入目景光浑似旧；
得心兴会每殊前. 大自在因臻最上；
妙观察智悟切真. 映窗黛郁千年树；
插架芸芳四库书. 树将暖旭轻笼牗；
花与香风并入帘. 绿水亭前罗带绕；
碧山窗外画屏开. 惬心雅得个中趣；
澄景凭催象外诗. 慧镜慈灯,广种善根垂福佑；
溪声山色,远从贤劫证圆通. 禅味每从闲里得；
道心常向静中参. 即境试抽思旧旧；
向荣旦喜木欣欣. 树鸟鸣春声渐畅；
砌台向日绿偏多. 绿深草色轻风拂；
红润花光宿雨晴. 翠峰自写王家画；
飞瀑常调雷氏琴. 经标窣堵云常护；
心印牟尼月共圆. 披图自可寻山对；
得句偏宜选壁题. 风经锦埭香犹细；
鹤步兰皋篆欲斑. 雨足春郊,亭皋开丽瞩；
风清书幌,花竹有真香. 烟霞并入新诗卷；
云树常开旧画图. 问大士缘何倒坐；
恨世人不肯回头. 入座韶光发新藻；
隔林山鸟试春声. 短长诗稿闹中检；
来往年华静里观. 平野晴云横短障；
满川烟霭润新犁. 七宝庄严成满字；
四花涌现得全谛. 此日园林簇锦绣；
当年勇烈动山川. 天地为垆,游心物以外；
读书敦好,尚论古之人. 岚影交窗翠；
松荫入座浓. 端居向林薮；
胜赏在烟霞. 琉璃光净遍空界；
薝蔔花开霏妙香. 目同碧宇朗无尽；
心与白云散以闲. 觉路圆通参妙谛；
法幢清净领真香. 轻风杨柳迎头爽；
浓露郊原蓄目清. 林外钟声开宿霭；
阶前旛形漾晴晖. 石洞别开清净地；
径函常护吉祥云. 高处不胜寒,溯沙鸟风帆,七十二沽丁字水；
夕阳无限好,对燕云蓟树,百千万叠米家山. 先圣道并乾坤,博也厚也高也明也悠也久也；
今皇教同尧舜,劳之来之匡之直之辅之翼之. 密云不雨旱三河,虽玉田亦难丰润；
怀柔有道皆遵化,知顺义便是良乡. 辽海吞边月；
长城锁乱山. 万壑烟岚春雨后；
千峰苍翠夕阳中. 雄关积翠倚苕荛；
碧树经霜叶未凋. 千峰岚气青霄上；
九折泉声翠壁间. 垂关深锁白云收；
天际诸峰黛色流. 山光积翠遥疑雪；
垆篆浮香近若云. 华海慈源分一滴；
金轮妙果演三乘. 杂卉曦阳争蒨丽；
乔柯待阴亦森沉. 列嶂拖蓝,晴横朝霭碧；
千畦环秀,香拥暮云黄. 八德灵源超觉海；
三明妙境照慈灯. 诗情讵花柳；
乐意在农桑. 风烟有奇状；
物象归余清. 杂花分户映；
空翠落庭荫. 红桃绿柳天然趣；
夕愓朝乾依旧身. 人家烟见翠微里；
天宇晴开碧幛头. 香云遍满华严界；
甘露长滋福慧心. 径出仍隐绿；
窗起乍来青. 康功北郭桑麻里；
爽气西山襟袖间. 最宜观处皆成画；
于暂闲时辄咏诗. 宅胜境而灵,川停岳峙；
润群生者广,云行雨施. 千畦香扑黄云遍；
列嶂屏拖碧霭横. 正喜轩窗无俗韵；
更当风物报新秋. 彼岸同登通筏喻；
即心有契悟灯传. 廖廊澄虚宇；
威纡露远峦. 智水仁山观物妙；
礼园书圃养天机. 日丽丹山,云绕旌旗辉凤羽；
祥开紫禁,人从阊阖觐龙光. 鳷观祥云,九泽同文朝玉阶；
凤楼焕彩,八方从律度瑶阊. 帝座九重高,禹服周疆还紫极；
皇图千禩永,尧天舜日启青阳. 日丽金门,五色云屏三岛近；
风和玉殿,九霄彩仗百花新. 瑞启日中,霞映龙墀晴色迥；
春来天上,烟融凤阙曙光高. 协气东来,禹甸琛球咸辑瑞；
和风南被,尧阶蓂荚早迎春. 景纬霞敷,星罕灿三辰珠璧；
元和春盎,云璈宣六代咸英. 东华灿烂日初昇,紫气常依晓殿；
北阙辉煌云正丽,祥光遍护春台. 心田净洗全如水；
鼻观清芬讵必莲. 旭日丽龙楼,瑞气春融珠树迥；
卿云笼鹤禁,祥光晴护玉阶平. 川岳献珍符,烟煴阐瑞；
日星昭景贶,糺缦呈华. 龙德正中天,四海雍熙符广远；
凤城回北斗,尤邦和谐颂平章. 帝命式于九围,兹惟艰哉,奈何弗敬；
天心佑夫一德,永言保之,遹求厥宁. 仁寿握乾符,万国车书会极；
中和绵鼎箓,九天日月齐光. 时乘六龙以御天,所其无逸；
用敷五福而锡极,彰厥有常. 祖训昭垂,我后嗣子孙,尚克钦承有永；
天心降鉴,惟万方臣庶,当思容保无疆. 恒久咸和,迓天休而滋至；
关睢麟趾,主王化之始基. 四库藏书,宝笈牙签天禄上；
三长选俊,缥囊翠袖月华西. 四海升平,翠幄雍容探六籍；
万几清暇,瑶编披览惜三余. 讵为饰其貌；
还因尊所闻. 道脉相承,经典昭垂千圣绪；
心源若接,羹墙默契百王传. 旭日射铜龙,上阳春晓；
和风翔玉燕,中禁花浓. 凤阁晓霞红散绮；
龙池春水绿生波. 广乐奏钧天,万国衣冠同瞻旭日；
阳春回大地,四时橐籥首协温风. 雉尾云移,看玉烛光中,星扶华盖；
螭头香动,听金铃声里,风展春旗. 汲古得修绠；
守道无异营. 忧其所可恃；
惧其所可矜. 诸恶不忍作；
众善必乐为. 仲尼不为己甚者；
惟帝若是其难之. 保泰常钦若；
调元益懋哉. 太和道共养；
纯嘏性弥敦. 优游茀禄咸宜,宝箓日增侔岱华；
昌炽寿耆弥固,瑶躔春茂式玑衡. 花鸟引机绪；
诗书蕴道荄. 图书采秘蕴；
钟鼎玩清嘉. 秦符占岁美；
颐志叶春和. 蜃窗日暖兰喷雾；
鸡树风轻玉霭春. 西山浓翠迎朝爽；
南陆微薰送午凉. 逊志好学以希圣；
自强不息以希天. 九有庆光华,日月所照；
三无昭怙冒,天地同流. 日映东方,光华被艺圃；
源流北海,沆瀁挹文澜. 皇图盛际阳春,观苍驾日升九照；
帝座高临北极,庆紫垣星拱端居. 宝祚巩黄图,环瀛介嘏；
祥雯辉紫极,璇阁凝厘. 八表被慈徽,梯航景化；
百昌徵圣寿,萱萐书祥. 以仁义为巢,凤仪阿阁；
与天人合机,象拱宸居. 昭明三光,清和六合；
经营万亿,作成四时. 窗虚玉戺铺花影；
帘静金钩袅篆烟. 二典三谟,法尧舜之道；
五风十雨,协天地之心. 九畴勤省岁；
万宝协书云. 云霞纷绮丽；
文物共葳蕤. 心爽天宇豁；
情欣理境融. 得句因新意；
耽书是宿缘. 墨汁润分瑶草绿；
篆文清带笔花香. 惟以一人治天下；
岂能天下奉一人. 帝典王谟昭万有；
乾苞坤络奉三元. 化日丽三阳,春回禹甸；
条风和万国,乐奏虞弦. 表正万邦,慎厥身修思永；
弘敷五典,无轻民事惟艰. 克宽克仁,皇建其有极；
惟精惟一,道积于厥躬. 学骑坠地杖龙驹,试剑杀妃伤长女,君王神武是何帝；
命相年达十余辈,理财添饷千万两,政府昏横过暴秦. 斯干咏松竹；
天保颂升恒. 天惟纯佑命,俾尔戬谷,百禄是荷；
民其刺懋和,绥以多福,万国咸宁. 功德庄严耀宝月；
薰闻安乐引祥凤. 天惟纯佑命,俾尔戬谷,百禄是荷；
民其敕懋和,绥以多福,万国咸宁. 玉阶晓拥珩璜,天上庆云移宝扇；
金阙遥趋剑佩,春来瑞气满瑶池. 兰殿颐和尊备养；
萱庭集庆寿延禧. 人天功德三摩地；
龙象威神两足尊. 百八牟尼,现庄严宝相；
三千薝葡,闻清净妙香. 爱日舒长,兰殿春晖凝彩仗；
慈云环阴,萱庭佳气接蓬山. 妙谛六如超众有；
善根三藐福群生. 松牖乐春长,既安且吉；
兰陔宜昼永,曰寿而康. 宝琴瑶瑟,蟠桃千岁果；
琪花芝草,温树四时春. 德茂椒涂绵福履；
教敷兰掖集嘉祥. 彩云宝树琼田绕；
仙露琪花碧间香. 麟游凤舞中天瑞；
月朗风和大地春. 西山浓翠迎朝爽；
南陆微薰送午凉. 万象皆春入凤琯；
八方向化转鸿钧. 山静都涵仁寿意；
星罗喜见会同归. 月傍九霄,众星齐北拱；
山呼万岁,爽霭自西来. 龙影玉柯联,花明御路；
鸾声珠履玉,日瓦天衢. 琪花银树三千界；
霞彩瑶台十二层. 彩云长绕甘泉树；
淑景初临建始花. 双阙晴烟笼菡萏；
九城初日照蓬莱. 龙衔宝盖承朝旭；
凤吐流苏带晚霞. 万象晓归仁寿镜；
百花春隔景阳钟. 百福屏开,九天迎瑞霭；
五云景丽,万象入春台. 云鹤有奇翼；
瑶花无尘根. 庭小有竹春常在；
山静无人水自流. 锦绣春明花富贵；
琅玕书报竹平安. 瑞集瑶图,融和开寿宇；
祥呈阆花,熙皞乐康衢. 玉琯应阳春,祥开南极；
璇宫呈丽景,庆洽西池. 庆叶瑶图,融和开寿域；
祥呈阆苑,熙皞乐康衢. 光华呈爱日；
仁寿遍和风. 欢心依日永；
乐志愿春和. 凤集桐花来绛阙；
鹤衔桃实自丹山. 四海为家钦养志；
万年介祉永承欢. 金盘露满瑶华丽；
丹粟祥凝鹤算绵. 福集璇图天永锡；
祥开绮甲日重光. 四周应接真无暇；
