崇正学； 育真才。
两淮文献； 万世师模。
明体达用； 论秀书升。
振兴文教； 乐育英才。
江山如画； 鱼鸟亲人。
仙踪万古； 神迹千秋。
神泉著润； 流水高山。
千岩竞秀； 万壑争流。
彤天涌日； 碧流连云。
皇帝万岁； 众神千秋。
素王千古； 名教万邦。
万世师表； 生民未有。
天与寿参； 德齐寿载。
高深莫赞； 广大无疆。
德侔天地； 道贯古今。
功重万世； 德贯百王。
德音永飨； 师表常尊。
卓冠贤科； 优入圣域。
三晋良将； 一堂忠义。
恕同文武； 志在春秋。
山间明月； 江上清风。
惟楚有材； 于豳斯馆。
惟酒无量； 有仙则名。
从心所欲； 随遇而安。
鸣扬万壑； 水击千崖。
大千世界； 不二法门。
金铺大地； 轮转法华。
慈航普渡； 云路同登。
地因春暖； 花待时开。
一切有情； 山川异域。
党纪似铁； 军令如山。
三元古观； 百粤名山。
到清凉景； 生欢喜心。
郁郁佳气； 泱泱大风。
人间胜境； 天上云居。
梅寒而秀； 竹瘦而寿。
西方自在； 法界皆春。
听鸟说甚； 问花笑谁。
道接东莱； 道崇东鲁。
潇湘秋雨； 平沙落雁。
山气夕佳； 因树为屋。
湖光一色； 堤柳万家。
注经世业； 捧檄家声。
声驰捧檄； 绪衍传经。
清风如故； 溪水钟灵。
白云堆里； 莲花界中。
石奇寺古； 洞豁泉幽。
杨枝甘露； 林屋清风。
荆衡秀气； 邹鲁遗风。
月色如故； 江流有声。
云间天上； 顶上圆光。
大江东去； 佛法西来。
瞿塘峡险； 白帝城高。
波高城矮； 地少天多。
水天一色； 风月无边。
敷尘说经； 半轮秋月。
遗世独立； 以天为徒。
月色如昼； 江流有声。
大江东去； 群山西来。
水天一色； 梅竹双清。
人间净土； 江上峰青。
禹犁题柱； 朱笔图河。
双峰虎啸； 孤洑龙吟。
天监有赫； 后德无疆。
天监厥德； 后来其苏。
大欢喜地； 小竺迦天。
流水今日； 明月前身。
福如东海； 寿比南山。
福同海阔； 寿与天齐。
松苍柏翠； 人寿年丰。
名高北斗； 寿以人樽。
呈辉南极； 霞焕椿庭。
樽开北海； 曲奏南薰。
人增高寿； 天转阳和。
天地同寿； 日月齐光。
人歌上寿； 天与遐龄。
蝉鸣高柳； 鹤栖长松。
人歌上寿； 天与稀龄。
芝荣五色； 图献九如。
河山并寿； 日月双辉。
椿萱并茂； 庚婺同明。
夫妻偕老； 庚婺双辉。
双星天象； 全福人家。
双寿共道； 两星齐明。
夫妻恩爱； 家庭幸福。
云开五色； 户拱三星。
互助互爱； 相敬相亲。
月明金屋； 香喷玉屏。
双燕齐飞； 合家欢乐。
五夜通明； 天开美景。
风清月朗； 灯彩星辉。
无边春色； 有庆年头。
光天满月； 火树银花。
月光皎洁； 银烛辉煌。
月光照耀； 银蜡辉煌。
金吾不禁； 玉漏莫催。
星桥铁锁； 火树银花。
树梢银花； 心上春意。
音可观乎； 士何大焉。
新笔红叶句； 华堂友琴章。
喜望金菊放； 乐迎新人来。
喜临安宅地； 福载善人家。
东风开画栋； 旭日映华堂。
芳室芝兰茂； 春风桃李新。
新春迁新宅； 福地启福门。
兰径香风满； 松窗夜月圆。
新居新气象； 佳业佳风光。
仁风丽日照； 德泽福星明。
借得山川秀； 添来气象新。
春风迎绿树； 山色上红楼。
宝盖万年在； 华厦千秋辉。
祥云浮紫阁； 喜气溢朱门。
新年纳余庆； 忠厚传家久。
世泽绵为善； 海岳君亲寿。
佳节号长春； 诗书继世长。
家声振读书； 莺花天地春。
寒雪梅中尽； 清溪吟雅韵。
世泰云生彩； 长空盈瑞气。
春风柳上归； 皓月洒春晖。
年丰雪献花； 大地遍春光。
大地春来早； 春为一岁首。
寒去草先翠； 吟竹诗含翠。
农家福降多； 梅在百花先。
春来花最红； 画梅笔带香。
雪里江山美； 红日千秋照。
千林华光动； 竹影摇风雨。
花间岁月新； 神州万载春。
四海瑞气高； 花溪入画图。
寒梅因雪艳； 一堂开暖日。
酒饮全家福； 一曲迎春调。
飞燕为春归； 百鸟唱新春。
歌唱满江红； 三杯祝福歌。
春地英雄气； 万里春光暖。
六合同春日； 富贵三春景。
乾坤锦纶春； 九州气象新。
三阳开泰时； 平安两字金。
寒风随岁去； 春满改革路。
日日平安日； 勤劳方致富。
德政伴春来； 花繁民主枝。
年年幸福年； 和睦可生财。
新岁多吉庆； 春辉满庭院。
日月红光照； 日亨君子道。
合家乐安然； 欢笑溢门窗。
乾坤喜气多； 天相吉人家。
云霞成异彩； 春来瑞雪里。
乾坤风雪荡； 送寒余雪尽。
梅柳动春风； 人在画图中。
中华日月新； 迎岁早梅新。
吉门沾泰早； 三阳临吉地。
财源通四海； 玉堂浮瑞气。
仁里得春多； 五福萃华门。
春色满人间； 金室耀祥光。
屋小乾坤大； 腊鼓催穷去。
福同时共彩； 华屋辉生壁。
檐低日月长； 金狮送富来。
人并物皆春； 春山绿到门。
柳笛穿林过； 鱼香飘万里。
一帆云作伴； 轻舟腾巨浪。
渔歌踏浪来； 红日映千帆。
千里月相随； 渔汛卷春风。
骏马驰千里； 云山添秀色。
海阔凭鱼跃； 文笔绘宏图。
东风暖万家； 河海泛春潮。
天高任鸟飞； 浓墨写春秋。
天增岁月寿； 人间春尽染。
阳春开物象； 九州花似锦。
福满人间门； 天下乐相融。
丽日焕新天； 四海歌如潮。
青松迎风立； 良辰逢雪霁。
旭霁青山秀； 春风苏绿野。
红梅斗雪开； 瑞气霭春晖。
春荣碧树娇； 细雨醒红梅。
春风舒冻柳； 冬随捷报去。
瑞雪漫天舞； 生意春前草。
瑞雪兆丰年； 春带凯歌来。
红梅着意开； 财源雨后泉。
鸡鸣万户晓； 烟柳千家晓。
松摇千尺雪； 春催杨柳绿。
鹤舞一年春； 风华百里香。
竹撼一窗秋； 花放山河新。
九阳祥烟合； 庆三阳开泰。
乾坤添春色； 日月开新纪。
千山淑气融； 喜万象更新。
日月增光辉； 田园入画图。
龙翔吟盛世； 雷鸣龙起蛰。
安定万民喜； 政通千家福。
燕舞咏阳春； 春暖燕衔泥。
团结百事成； 人和万户春。
东风迎新岁； 红梅报春早。
天寒梅骨傲； 花开春富贵。
瑞雪兆丰年； 喜鹊登枝高。
风暖草心香； 竹报岁平安。
江山无限好； 人随春意泰。
九州归一统； 雪和新雨落。
祖国万年春； 事共壮怀成。
两岸共千春； 风带早春来。
有天皆丽日； 红日出林海。
阳光凝大地； 民殷思报国。
无地不春风； 春光追鸟音。
春色入人家； 岁稔喜迎春。
四海春风洽； 春风添画意。
门门增瑞霭； 春风新燕子。
九州岁历长； 岁月赋诗情。
户户建文明； 香月古梅花。
人展鲲鹏志； 九陌连灯影。
安邦兴世纪； 三山钟秀气。
国呈龙虎威； 千门庆月华。
举国庆长春； 四海著春光。
梅香催腊去； 瑞雪漫天舞。
雪里江山美； 丹桂千里香。
燕翅携春来； 红梅着意开。
花间岁月新； 松柏万年青。
春联耀春光； 东风传紫气。
淑气芝兰茂； 雪在梅花白。
喜报传喜讯； 大地发春华。
春风桃李香； 春归柳色青。
青山披锦绣； 竹疏烟补密。
红日出林海； 庆新春肇始。
绿水溢春华； 梅瘦雪添肥。
春光追鸟音； 祝大业终成。
九州开泰运； 银蛇腾瑞雪。
云霞出海曙； 远山含紫气。
万福启春华； 骏马舞东风。
梅柳渡江春； 芳树发春辉。
青山添秀色； 九州生瑞气。
江山添秀色； 华文春日丽。
碧海泛春潮； 万户报新春。
天地共长春； 瑞色紫云高。
民奔小康路； 春降千门福。
兴邦凭改革； 勤是摇钱树。
国臻大治年； 花开万户欢。
致富在勤劳； 俭为聚宝盆。
勤劳携福至； 好景年年好。
日子天天好； 安定千家乐。
科技引财来； 新春岁岁新。
生活步步高； 辛勤五谷香。
风声读竹韵； 春水鸣琴韵。
堂上归来燕； 梅竹呈秀色。
月影写梅痕； 康民乐岁华。
厅前新种花； 莺燕送佳音。
日月光华照； 放怀歌胜岁。
太平真富贵； 彩结宜春字。
乾坤春意浓； 挥翰颂新春。
春色大文章； 云书大有年。
山河添秀色； 天地英雄气。
政善山河美； 九州归一统。
大地浴春晖； 山河浩荡春。
天清日月明； 两岸共千春。
万紫千红地； 良辰逢雪霁。
清溪吟雅韵； 江山增秀色。
花团锦簇天； 瑞气霭春晖。
皓月洒春晖； 大地换新装。
春为一岁首； 田园无限美。
门庭清且吉； 日出乾坤秀。
梅占百花魁； 山河分外娇。
家道泰而昌； 春来草木娇。
阳光凝大地； 年丰人益寿。
迎春接福日； 江山千古秀。
春色人人家； 春早福盈门。
足食丰衣年； 祖国万年春。
人随春意泰； 勤劳能致富。
同修富裕路； 山河添秀色。
事共壮怀成； 和睦可生财。
共建文明村； 大地沐春晖。
好景年年好； 政通千家福。
太平真福贵； 春晖盈大地。
新春岁岁新； 人和万户春。
春色大文章； 正气满乾坤。
淑气芝兰茂； 三阳临吉地。
国登强盛境； 春明有富贵。
春风桃李香； 五福萃华门。
人过富裕年； 风静全家安。
花随春意发； 庆新春肇事。
人民歌永泰； 一年春作首。
福从好运来； 祝大业终成。
祖国庆长春； 百事德为先。
半年飞瑞雪； 岁月随人好。
万里春光美； 祖国春如海。
好景舞春风； 山河照眼明。
九州瑞气浓； 人民力胜天。
梅花开五福； 年年歌大有。
新风开盛世； 红点桃花嫩。
竹叶报三多； 岁岁颂新康。
春色壮神州； 青描柳色新。
天开新岁月； 四海春光好。
人民歌大治； 党指通天路。
人改旧乾坤； 九州气象新。
祖国庆长安； 民怀报国心。
神州臻百福； 风和催四化。
玉堂浮瑞气； 共祝升平日。
盛世集千祥； 政通喜千家。
金室耀祥光； 同沾大有年。
事业随春长； 普天开景运。
跨峥嵘岁月； 龙飞欣晓日。
风光逐日新； 大地沐春晖。
奔锦绣前程； 马到庆丰功。
日月光天德； 有年皆丽日。
云霞出海曙； 春风舒冻柳。
云霞拥地灵； 无处不春风。
梅柳渡江春； 瑞雪兆丰年。
和光生柳叶； 风助飞雪舞。
青山多画意； 吟竹诗含翠。
春色泛桃花； 诗伴落梅吟。
春雨润诗情； 画梅笔带香。
华文春日丽； 神州春浩荡。
普天开远景； 云霞成异彩。
瑞色紫云高； 寰海日光华。
大地焕新风； 梅柳动春风。
石压笋斜出； 岩垂花倒开。
庆云宿飞栋； 喜树罗清墀。
行到水穷处； 坐看云起时。
视听思无远； 天心格有孚。
中原新气象； 华国大文章。
抚射御道义； 接武在文章。
绿竹入幽径； 仙桃正发花。
松荫入座浓； 端居向林薮。
乐意在农桑； 风烟有奇状。
物象归余清； 杂花分户映。
守道无异营； 忧其所可恃。
惧其所可矜； 诸恶不忍作。
调元益懋哉； 太和道共养。
诗书蕴道荄； 图书采秘蕴。
钟鼎玩清嘉； 秦符占岁美。
万宝协书云； 云霞纷绮丽。
文物共葳蕤； 心爽天宇豁。
情欣理境融； 得句因新意。
仁寿遍和风； 欢心依日永。
兰陔日月长； 庆霄辉寿曜。
仙圃丽春光； 钧庭延淑景。
瑶屏集瑞图； 西池增宝箓。
深心托毫素； 怀抱观古今。
玉堂迎燕喜； 金谷振麟祥。
梅报平安信； 鸟传如意春。
情将物外适； 道与古人期。
乐惟四时适； 寿与万方同。
善果皆欢喜； 香云普吉祥。
画情八窗纳； 春意百花舒。
芝篆薰晨鼎； 莲檠检夜书。
闲情空外寄； 妙道个中参。
高居因见远； 贞复会旋元。
书契洽嫏嬛； 偶披风送爽。
恰傍竹延虚； 轩亭喜淳朴。
瓯砚总清嘉； 鼎篆兰烟直。
于焉悦性灵； 春秋富佳日。
松竹葆长年； 动趣都涵澹。
静机常觉宁； 当春莲带水。
坐久蕙烟微； 经书趣有永。
高云共此心； 湘管摛新会。
香篆引澄怀； 轩墀绕秀润。
书史足吟哦； 看花生意蕊。
听雨发言泉； 味道研精义。
随时爱景光； 素心悦澹泊。
胜托惟静虚； 窗意包涵画。
即事多所欣； 白雪有古调。
神气领三元； 敬顺禔躬吉。
兴幽鱼鸟闲； 风篁叶韶濩。
云树霭蓬壶； 闲云入窗牗。
清露滴梧桐； 亭台涵明镜。
即时既多美； 托好常有因。
润浥云霞气； 真参泉石灵。
晓露兰陔外； 香风禾陇间。
松烟冲翠幄； 云径绕花源。
澹荡青阳盎； 棼煴瑞旭舒。
地高游目远； 云敛骋怀宽。
画图参生动； 诗书阅古芳。
亭台涵月镜； 花木畅天机。
会心多野趣； 契理谢言诠。
古树当庭直； 天花满座馨。
尘祛滋意蕊； 闻复发心香。
辨见还参柏； 徵心欲剥焦。
松风谡诗意； 水月空禅心。
庭竹萇真画； 阶前滴暗琴。
芝径绕而曲； 云林秀以直。
芝径缭而曲； 云林秀以重。
悟物思遥托； 悦心非外缘。
籁动风满谷； 波澄月一奁。
石缝若无路； 松巢别有天。
空明爱天水； 飞跃任鱼鸢。
有怀虚是静； 无俗窕而深。
露湑花递馥； 风度水生纹。
山容室外秀； 波态席前浮。
波光入窗淡； 草色护阶新。
天阔云非系； 波空月自明。
望宜银汉月； 清似玉壶冰。
好山一窗足； 佳景四时宜。
箧有三山记； 胸藏五岳图。
定光澄月相； 慧海涌潮音。
健行乾不息； 逊志益无疆。
情将物外适； 道与古人期。
雨花庄宝相； 湛日朗心珠。
万景得教全； 净业真称白。
石栏斜点笔； 烟屿隐行舟。
林表明霁色； 人间重晚晴。
夕阳无限好； 秀色难为名。
竹风醒晚醉； 帘月度斜晖。
云山六时变； 深树一楼藏。
明月几时有； 孤云独自闲。
举头望明月； 把酒问青天。
草色分危磴； 霞明见远山。
斜光明疏雨； 散步咏凉天。
山河带砺长； 下窥指高鸟。
侧水夏天凝； 劈开双玉峡。
雨过琴山润； 风来花木香。
云卷千峰色； 泉和万籁吟。
岩秀原增寿； 水芳可谢医。
青松蟠户外； 白鹤舞庭前。
双涧常流月； 千峰自合云。
野静山气敛； 林疏风露长。
石泉流暗壁； 疏竹隐秋花。
有鹤松皆直； 无花地亦香。
孤忠心不死； 故社柏犹存。
八岗齐岌岌； 双鹤舞飘飘。
纵游群玉府； 高俯大伾山。
瘦黄穿石窍； 古蔓绕松身。
金鼎消红日； 丹日老紫芝。
威扫朱仙镇； 志吟满江红。
体乾思圣学； 来复见天心。
卿含恨而死； 夫惭愧终生。
花暖青牛卧； 山空碧水流。
开张天岸马； 奇异人中龙。
说文藏古意； 解字著新经。
芳名流颖水； 古冢峙千秋。
禹门三级浪； 平地一声雷。
轩辕来问道； 仙子别赠言。
树栽棠作舍； 山制锦为屏。
送千年客去； 移一个关来。
夕来秋兴满； 朝坐落花闲。
冷风送余善； 和泽周三春。
汲古得修绠； 吐论驾秋涛。
琴心妙清远； 毂性多温纯。
琴言清若水； 诗梦暖于春。
微雨池塘见； 好风襟袖知。
松柏有本性； 园林无俗情。
万山环塞险； 一水抱天流。
得名始于夏； 怀古几登台。
盘古斯文地； 开天圣人家。
何必更幽栖； 春秋多佳日。
修竹引惠风； 春烟生古石。
非铸复非镕； 扁舟荡云锦。
淡泊以明志； 宁静而致远。
峰峦低枕席； 星斗列轩窗。
中国已新生； 方向更光明。
流云蔼青阙； 金壶启夕轮。
丹霞夹明月； 惊风诵飞流。
屋小疏茅覆； 门深乱柳遮。
无以慰延伫； 聊可莹心神。
野老时一望； 游子澹忘归。
高吟宝剑篇； 蛮触不如意。
树老化龙易； 亭高得月多。
奋扬民族气； 朗开神州天。
春秋多佳日； 山水有清香。
丰功留梓荫； 威望震欧洲。
君恩故人重； 帝座客星明。
梦骑双蛱蝶； 歌起万鸳鸯。
欲为诸法本； 心如二画师。
人过大佛寺； 寺佛大过人。
浣纱存古迹； 救国出真人。
一洞涵天白； 群山扑地青。
与石共千古； 随云来半山。
一水围山阁； 千花夹寺门。
拈花证禅悦； 杖策惬幽寻。
众山遥对酒； 孤屿共题诗。
潮翻孤屿白； 山对酒人青。
乾坤此胜概； 我辈复登临。
水清鱼读月； 山静鸟谈天。
梅香闻不厌； 竹静望偏深。
屿云连竺境； 湖月证潮音。
林端挹甘露； 峰际现青莲。
涛声听东浙； 印学话西泠。
天地有正气； 山水当朝晖。
佳游惬宿愿； 胜侣同素心。
笔下文章润； 人间雨露浓。
劚云起高阁； 叠石疏流泉。
高风振千古； 印学话西泠。
湖山露真态； 功德说先王。
雷峰如老衲； 宝石似美人。
美好多映竹； 乔木自成林。
禅心澄水月； 法鼓聚龙鱼。
石戴古皱奇； 到江吴地尽。
隔岸越山多； 明月松间照。
青松寒不落； 白水清可盟。
秋气塞天地； 春社开湖山。
天空任鸟飞； 看山饶蕴藉。
有山皆图画； 无水不文章。
即景亲风月； 随时笃诗书。
一塔远出树； 众山青到门。
喜无多屋宇； 幸不碍云山。
峰盘三百级； 身入万重云。
峰盘三百级； 身入万重云。
家藏八千卷； 门对七二峰。
志高局四海； 英名擅八区。
水清鱼读月； 山静鸟谈天。
声驱千骑疾； 气卷万山来。
山远疑无树； 湖平似不流。
四面山光照； 三潭水影清。
明月自来去； 空潭无古今。
荷风送香气； 潭影空人心。
空潭成对影； 明月悟前身。
断桥桥不断； 残雪雪未残。
风起云行快； 山高月上迟。
曲阁池边起； 长柳桥外横。
栋宇摩霄汉； 金碧灿云霞。
一步一花景； 无时无鸟声。
十三夸令子； 四七冠功臣。
山与人相见； 天将水共浮。
虹飞霞际落； 鹤舞镜中回。
绕寺全遮树； 开门但见山。
桥通南北路； 川流东西崦。
旧境随波去； 新景逐浪添。
秀句满江国； 芳声腾海隅。
琴室停云静； 天桥生月明。
竹梧秋雨碧； 荷芰晚波明。
山有神仙骨； 林多草木香。
此石穿石硖； 飞浪到天门。
庙貌隆千古； 神威振四方。
赤足云为履； 蓬头天作冠。
分黄山秀气； 振东海文风。
吴兴绵世泽； 楚水封明烟。
殿洒杨枝水； 炉焚柏子香。
绿野农欢在； 青山画意堆。
荔子甲天下； 梅妃是部民。
余事艺三绝； 狂吟月二分。
三绝诗书画； 一官归去来。
酒气吞湖月； 诗怀涌塔云。
江淮君子水； 山木女郎祠。
荷花开自落； 秋水净无泥。
晴窗走雷雨； 笔底千尺云。
大作述西游； 名簃留水郊。
风华为人杰； 巾帼逞英豪。
津渡临祠庙； 行人说古侯。
松间觅云径； 石罅眄壶天。
小洞穿斜竹； 重岩夹细莎。
与钟山终古； 为民族争光。
一鸣惊玉宇； 百炼铸金身。
鼓震三吴地； 楼迎四海宾。
养天地正气； 法古今完人。
眼底五千载； 胸中十万兵。
登楼思悄然； 欲穷千里目。
来看六朝山； 大江拖白练。
兰香十二时； 此语深有味。
我心静不波； 江山留胜迹。
西北有高楼； 落叶人何在。
大名还在杜； 时论又推袁。
中天悬明月； 绝代有佳人。
楫摇秦代水； 枝带晋时风。
变化焦龙地； 飞翔鸾凤天。
垂杨拂细波； 放鹤云千里。
溪窗听雨眠； 静时疑水近。
当年道果南； 东林精舍内。
颜洛闽中枢； 伊洛渊源旧。
何以利吾国； 时近读我书。
极天地大观； 扫石月盈帚。
几生修得到； 一半此勾留。
坦腹纳震泽； 高怀偃惠山。
大才被广厦； 巧工刊天然。
风止松犹韵； 日晴花更新。
梅品高千载； 园花趣四时。
梅花千树白； 修竹万竿青。
请回俗士驾； 恐受山灵嘲。
高蹤绍濂雒； 杰阁名古今。
息飨执嘉瑞； 膏泽多丰年。
川原通霁色； 萧鼓赛田神。
岩竭白云宿； 屋上春鸠鸣。
夕阳杨柳岸； 微雨杏花村。
苔染浑成碧； 春生即有花。
水深鱼极乐； 云在意俱迟。
凉意生竹树； 疏雨滴梧桐。
花药绕方丈； 清流涌坐隅。
鸟宿池边树； 花香洞里天。
潭影竹间动； 天香云外飘。
临眺自兹始； 烟霞此地多。
水石有余态； 凫鹥亦好音。
渚花张素锦； 月桂朗冲襟。
人烟隔水见； 香径小船通。
曲径通幽处； 垂杨拂细波。
阶墀近洲渚； 亭院有烟霞。
层轩皆面水； 芳树曲迎春。
开帘见新月； 倚树听流泉。
名园依绿水； 野竹上青霄。
云中辨江树； 花里弄春禽。
山随平野尽； 人与堂比高。
绿水入澄照； 青山犹古姿。
天意怜幽草； 人间重晚晴。
稼收平野阔； 风正一帆悬。
碧树锁金谷； 遥天倚翠岑。
泽兰侵小径； 流水响空山。
野竹上青霄； 园潭写溪月。
夏前香想莲； 柳占三春色。
荷香四座风； 美花多映竹。
楼深复道通； 金涧流春水。
来往在烟霞； 可居兼可过。
非铸复非镕； 高座登莲叶。
晨斋就水声； 紫云盛宝界。
荷香入水亭； 春烟生古石。
疏柳映新塘； 目属高低石。
安歌送好音； 秋花冒绿水。
游鱼动圆波； 问津窥彼岸。
把钓待秋风； 地偏山水秀。
酒绿河桥春； 地胜林亭好。
晴云出翠微； 隔沼连荷芰。
中流泛羽觞； 桃花飞绿水。
野竹上青霄； 小松含瑞露。
月来满地水； 云起一天山。
江秋逼山翠； 日瘦抱松寒。
浩歌向兰渚； 把钓待秋风。
花间渔艇近； 水外寺钟微。
群山霭霞瞩； 风景满清昕。
宛转通幽处； 玲珑得旷观。
青徐平野阔； 幽蓟五云飞。
一邱藏曲折； 踪步有跻攀。
苔色侵衣桁； 荷香入水亭。
双树容听法； 三峰意出云。
红树借邻影； 北窗闻水声。
水曲山如画； 溪虚云傍花。
寒香生寂磬； 山翠滴疏棂。
三山近将引； 紫极遥可攀。
名园依绿水； 仙塔俪云庄。
竹高鸣翡翠； 溪暖戏鵁鶄。
别业临清甸； 前轩枕大河。
垒石通溪水； 当轩暗绿筠。
飞阁凌芳树； 双桥落彩虹。
飞塔云霄半； 书斋竹树中。
山月映石室； 春星带草堂。
水色清依榻； 竹声凉入窗。
竹动疏帘影； 花明绮陌春。
川源通霁色； 杨柳散晓风。
香中别有韵； 天意不教迟。
春秋多佳日； 山水有清音。
花柳含丹日； 楼台绕曲池。
野香袭荷芰； 池色似潇湘。
夕阳双寺外； 春水五塘西。
东坡何所爱； 仙老暂相将。
繁华及春媚； 红药当阶翻。
日交当户树； 花绕傍池山。
重檐交密树； 隔岸上春潮。
佳句应无敌； 苏侯得数过。
云林颇重叠； 池馆亦清闲。
山深松翠冷； 树密鸟声幽。
仙雇傍岩崿； 小楹俯澄鲜。
烟草青无际； 溪山画不如。
月来满地水； 支起一天山。
天气涵竹气； 山色满湖光。
层轩静华月； 修竹引熏风。
清谈适我情； 室雅何须大。
天心资岳牧； 世业重韦平。
处世劳尘事； 传家宝旧书。
水声鸣画石； 山色和春秋。
寒叶湿樵径； 山花生佛头。
白云抱幽石； 绿水荡潭波。
乔木莺初啭； 深院燕交飞。
今古几楼台； 看花寻径远。
花柳更无私； 芳草池塘绿。
落梅亭榭香； 芭蕉笼碧砌。
时还读我书； 日迟帘幕静。
天宽水亦宽； 蝉噪林愈静。
鸟鸣山更幽； 松柏有本性。
金石见盟心； 落花人独立。
微雨燕双飞； 阶前花影乱。
桥下水声长； 春秋多嘉日。
芳草到横塘； 流水溅照影。
杨柳绿成荫； 花为散幽人。
祗树寿千岁； 名兰香四时。
塔从林外出； 山向寺中藏。
嵯峨阊门北； 邈若罗浮巅。
莺花几两屐； 虾菜一扁舟。
横波留塔影； 达岸接山光。
路入香山社； 人维春水舟。
支分仁孝里； 路接虎丘山。
径转披云近； 窗明挹翠微。
波光先得月； 山秀自生云。
湖山今胜地； 唐宋古诗坛。
共知心似水； 安见我非鱼。
风篁类长笛； 流水当鸣琴。
道接东南远； 源分墨井香。
东南开道脉； 今古挹文澜。
精理自谈笑； 忘形向友朋。
溪静云生石； 窗虚日弄纱。
山河天眼里； 世界法身中。
老马时垂耳； 灵犀自彻天。
山破月来补； 潭空心自灵。
山好何曾破； 潭死忽复苏。
琴声有故知； 水多归海近。
如松竹之茂； 无江海而闲。
凤以桐为宅； 鹤将松比年。
十恶淫为首； 百行孝为先。
天留宋朝土； 人说岳家军。
湖光穿户入； 山色渡江来。
江流石不转； 云在意俱迟。
夕阳无限好； 高处不胜寒。
留江山不朽； 得华石相与。
海日初晁白； 秋烟断岸青。
来时觉幽冥； 到此豁心胸。
泉流曲涧长； 鸟语乱幽磐。
松声杂涧泉； 仙子读书处。
残碑绝妙词； 竹径深开院。
松门对远山； 禅心澄水月。
莲阜万石青； 澄潭涵皓月。
举目点遥空； 设佛崇天帝。
移民效古风； 临军称将勇。
玩洞羡诗雄； 剑气冲星斗。
山高云气重； 水长鹤影远。
云山怀旧泽； 风日忆当年。
户外一峰秀； 阶前众壑深。
名园依得水； 野竹上青霄。
江入大荒流； 湖平两岸阔。
楼观沧海日； 台接凤凰云。
云翻一天墨； 浪蹴半空花。
是是非非地； 明明白白天。
千秋农祀典； 八蜡庆丰年。
家有回天手； 全凭济世心。
真气森歕薄； 神功接混茫。
到此息尘虑； 对之清客心。
露滴仙人掌； 云流玉女盆。
虽有此不乐； 既来之则安。
悬榻低云树； 开窗近斗星。
鬼狐有性格； 笑骂成文章。
片石留仙迹； 全家读鹤经。
龙卧松云坠； 鹤鸣桐月高。
山静凝神气； 泉高识道源。
临水愧游鱼； 掬水月在手。
弄花香满衣； 于心有不厌。
即事多所欣； 泉声到池尽。
远看原上村； 举头望明月。
荡胸生层云； 春秋多佳日。
圣何可及也； 文不在兹乎。
衮裳瞻古像； 俎豆识遗风。
德大千年祀； 名高万世师。
教泽垂千古； 泰山终不颓。
放大智慧兴； 海右此亭古。
禹门三激浪； 平地一声雷。
峭石千重立； 藤萝百道开。
山吞残日暮； 水挟断云流。
一门全大节； 百战守孤城。
举杯邀明月； 荡胸生层云。
去帆疑峡走； 卷浪骇江飞。
烂醉小天地； 狂吟空古今。
举杯邀明月； 放眼看青山。
功名飞燕误； 心迹大鹏俱。
侧耳泉声冷； 举头月色清。
山声鸟喧语； 林密鹤梳翎。
以阴阳消长； 定世界安危。
天与三台座； 名成八阵图。
酒醺人半醉； 殿古像多灵。
